time_s,ax_mss,ay_mss,az_mss,gx_rads,gy_rads,gz_rads
3.623000,0.043096,0.169988,9.844957,-0.002131,-0.001065,0.005326
3.624000,0.040701,0.174777,9.847351,-0.001065,-0.001065,0.005326
3.625000,0.040701,0.179565,9.844957,-0.001065,-0.001065,0.005859
3.627000,0.055067,0.174777,9.849746,-0.002131,-0.001598,0.005326
3.628000,0.055067,0.167594,9.854534,-0.001598,-0.001065,0.005326
3.629000,0.043096,0.174777,9.852140,-0.001598,-0.001065,0.005859
3.630000,0.040701,0.181959,9.849746,-0.002131,-0.001598,0.005859
3.632000,0.050278,0.174777,9.859322,-0.001598,-0.001598,0.005326
3.633000,0.043096,0.179565,9.849746,-0.001598,-0.001598,0.005859
3.634000,0.045490,0.179565,9.837775,-0.001598,-0.001598,0.005859
3.635000,0.045490,0.181959,9.840169,-0.000533,-0.001065,0.005326
3.637000,0.043096,0.181959,9.844957,-0.001598,-0.001065,0.005326
3.638000,0.045490,0.181959,9.849746,-0.001598,-0.001065,0.005859
3.639000,0.045490,0.181959,9.849746,-0.001598,0.000000,0.005326
3.640000,0.040701,0.179565,9.847351,-0.001598,-0.000533,0.005326
3.642000,0.047884,0.165200,9.840169,-0.002131,-0.002131,0.005326
3.643000,0.045490,0.165200,9.840169,-0.001598,-0.001065,0.004794
3.644000,0.040701,0.174777,9.849746,-0.001598,-0.001065,0.004794
3.645000,0.040701,0.181959,9.854534,-0.002131,-0.001065,0.005859
3.647000,0.038307,0.167594,9.835380,-0.001598,-0.001065,0.005859
3.648000,0.038307,0.169988,9.835380,-0.001598,-0.001598,0.005859
3.649000,0.043096,0.174777,9.844957,-0.001065,-0.001598,0.005859
3.650000,0.045490,0.174777,9.849746,-0.002131,-0.001065,0.005326
3.652000,0.045490,0.177171,9.849746,-0.002131,-0.001598,0.004794
3.653000,0.043096,0.181959,9.849746,-0.002131,-0.001598,0.004261
3.654000,0.038307,0.181959,9.849746,-0.003196,-0.001065,0.004261
3.655000,0.040701,0.179565,9.849746,-0.002663,-0.001065,0.004261
3.657000,0.050278,0.184354,9.852140,-0.002663,-0.001065,0.005326
3.658000,0.055067,0.184354,9.840169,-0.002663,-0.001065,0.005326
3.659000,0.055067,0.177171,9.840169,-0.003196,-0.001065,0.005326
3.660000,0.050278,0.165200,9.847351,-0.003196,-0.000533,0.005859
3.662000,0.045490,0.181959,9.840169,-0.002131,-0.001598,0.005326
3.663000,0.055067,0.179565,9.844957,-0.003196,-0.001598,0.004794
3.664000,0.055067,0.174777,9.854534,-0.003196,-0.001598,0.005326
3.665000,0.052672,0.184354,9.854534,-0.003196,-0.001065,0.004794
3.667000,0.052672,0.179565,9.849746,-0.003196,-0.000533,0.005326
3.668000,0.057461,0.181959,9.849746,-0.003196,-0.000533,0.005326
3.669000,0.059855,0.186748,9.849746,-0.003196,-0.001065,0.004794
3.670000,0.055067,0.179565,9.847351,-0.003196,-0.001065,0.004794
3.672000,0.050278,0.172383,9.854534,-0.003728,-0.000533,0.005326
3.673000,0.045490,0.177171,9.854534,-0.003728,-0.000533,0.004794
3.674000,0.043096,0.177171,9.856928,-0.003196,-0.000533,0.005859
3.675000,0.047884,0.184354,9.856928,-0.003728,0.000000,0.006392
3.677000,0.055067,0.174777,9.847351,-0.003196,0.000533,0.005326
3.678000,0.047884,0.162806,9.856928,-0.003728,0.000533,0.005859
3.679000,0.040701,0.165200,9.854534,-0.003196,-0.000533,0.005326
3.680000,0.045490,0.174777,9.844957,-0.002663,-0.000533,0.004794
3.682000,0.043096,0.177171,9.852140,-0.003196,-0.000533,0.005859
3.683000,0.045490,0.172383,9.844957,-0.003196,-0.000533,0.005859
3.684000,0.050278,0.181959,9.847351,-0.002663,-0.001065,0.005326
3.685000,0.050278,0.186748,9.861717,-0.002663,-0.001065,0.004261
3.687000,0.040701,0.169988,9.852140,-0.002663,-0.001065,0.005326
3.688000,0.040701,0.174777,9.849746,-0.002131,-0.001598,0.004794
3.689000,0.040701,0.172383,9.852140,-0.002131,-0.001598,0.004794
3.690000,0.038307,0.167594,9.849746,-0.001598,-0.001598,0.005326
3.692000,0.055067,0.172383,9.849746,-0.002131,-0.000533,0.005326
3.693000,0.040701,0.172383,9.849746,-0.003196,-0.001065,0.005859
3.694000,0.033519,0.177171,9.844957,-0.003196,-0.001598,0.005326
3.695000,0.040701,0.184354,9.847351,-0.002131,-0.001065,0.005326
3.697000,0.035913,0.177171,9.847351,-0.002663,-0.000533,0.005326
3.698000,0.033519,0.172383,9.849746,-0.002131,-0.000533,0.005326
3.699000,0.038307,0.169988,9.854534,-0.001598,-0.001065,0.005326
3.700000,0.045490,0.174777,9.859322,-0.001065,-0.001065,0.005326
3.702000,0.045490,0.179565,9.849746,-0.002131,-0.001065,0.005326
3.703000,0.047884,0.179565,9.849746,-0.002131,-0.001065,0.005326
3.704000,0.045490,0.179565,9.849746,-0.002131,-0.001598,0.004794
3.705000,0.045490,0.184354,9.844957,-0.002131,-0.001065,0.004794
3.707000,0.047884,0.169988,9.837775,-0.002131,-0.001065,0.005859
3.708000,0.045490,0.169988,9.847351,-0.002131,-0.001065,0.005326
3.709000,0.052672,0.174777,9.852140,-0.002663,-0.001065,0.004794
3.710000,0.050278,0.172383,9.849746,-0.003196,-0.001065,0.005326
3.712000,0.045490,0.179565,9.844957,-0.003196,-0.000533,0.006392
3.713000,0.045490,0.177171,9.847351,-0.002663,-0.000533,0.005326
3.714000,0.038307,0.167594,9.844957,-0.002131,-0.000533,0.004794
3.715000,0.040701,0.165200,9.847351,-0.002131,0.000000,0.005326
3.717000,0.052672,0.186748,9.847351,-0.002131,-0.001065,0.005326
3.718000,0.050278,0.181959,9.842563,-0.002663,-0.000533,0.004794
3.719000,0.047884,0.174777,9.842563,-0.003196,0.000000,0.005326
3.720000,0.050278,0.177171,9.840169,-0.003196,-0.000533,0.005859
3.722000,0.047884,0.177171,9.856928,-0.003728,-0.000533,0.004794
3.723000,0.047884,0.179565,9.856928,-0.003728,0.000000,0.005326
3.724000,0.047884,0.179565,9.849746,-0.003728,-0.000533,0.006392
3.725000,0.045490,0.169988,9.840169,-0.004261,-0.000533,0.005859
3.727000,0.050278,0.186748,9.847351,-0.004261,-0.000533,0.004794
3.728000,0.055067,0.186748,9.849746,-0.003728,-0.001065,0.004794
3.729000,0.050278,0.174777,9.849746,-0.003728,-0.000533,0.005326
3.730000,0.045490,0.169988,9.837775,-0.003728,0.000000,0.005859
3.732000,0.057461,0.177171,9.840169,-0.002663,0.000000,0.005326
3.733000,0.052672,0.179565,9.847351,-0.002663,0.000000,0.005859
3.734000,0.040701,0.184354,9.849746,-0.003196,0.000000,0.005859
3.735000,0.040701,0.186748,9.849746,-0.003196,-0.000533,0.005326
3.737000,0.047884,0.174777,9.854534,-0.003728,-0.000533,0.005326
3.738000,0.045490,0.174777,9.849746,-0.003196,-0.000533,0.005859
3.739000,0.047884,0.177171,9.849746,-0.002663,-0.000533,0.005326
3.740000,0.045490,0.181959,9.847351,-0.003196,-0.001065,0.004794
3.742000,0.033519,0.165200,9.844957,-0.003196,-0.001065,0.004794
3.743000,0.038307,0.162806,9.844957,-0.002131,-0.001598,0.004794
3.744000,0.040701,0.169988,9.842563,-0.002131,-0.001598,0.004261
3.745000,0.043096,0.174777,9.842563,-0.002131,-0.001598,0.004794
3.747000,0.047884,0.174777,9.844957,-0.001598,-0.000533,0.005326
3.748000,0.050278,0.174777,9.844957,-0.001598,-0.001065,0.005326
3.749000,0.043096,0.174777,9.844957,-0.001598,-0.001065,0.004794
3.750000,0.038307,0.181959,9.844957,-0.001065,-0.001065,0.004794
3.752000,0.040701,0.174777,9.856928,-0.001065,-0.001065,0.005326
3.753000,0.038307,0.165200,9.861717,-0.000533,-0.001065,0.004794
3.754000,0.040701,0.172383,9.859322,-0.000533,-0.001598,0.005326
3.755000,0.040701,0.179565,9.849746,-0.001065,-0.001598,0.005859
3.757000,0.050278,0.167594,9.852140,-0.001065,-0.001598,0.005326
3.758000,0.050278,0.174777,9.852140,-0.000533,-0.001598,0.004794
3.759000,0.045490,0.184354,9.856928,0.000000,-0.001598,0.004794
3.760000,0.038307,0.189142,9.859322,-0.000533,-0.001598,0.004794
3.762000,0.033519,0.177171,9.842563,0.000000,-0.000533,0.004794
3.763000,0.040701,0.174777,9.849746,0.000000,-0.001065,0.005859
3.764000,0.045490,0.174777,9.852140,-0.000533,-0.002131,0.006392
3.765000,0.050278,0.172383,9.844957,-0.001065,-0.002131,0.005859
3.767000,0.038307,0.174777,9.849746,-0.001598,-0.001065,0.005859
3.768000,0.038307,0.179565,9.856928,-0.001065,-0.001065,0.006392
3.769000,0.043096,0.181959,9.859322,-0.000533,-0.001065,0.005859
3.770000,0.040701,0.181959,9.852140,-0.000533,-0.000533,0.005326
3.772000,0.033519,0.169988,9.842563,-0.001598,-0.001598,0.005326
3.773000,0.038307,0.181959,9.847351,-0.002131,-0.000533,0.005326
3.774000,0.038307,0.186748,9.849746,-0.002131,0.000000,0.005859
3.775000,0.043096,0.172383,9.842563,-0.001598,-0.001065,0.005326
3.777000,0.050278,0.179565,9.844957,-0.002131,-0.000533,0.005326
3.778000,0.050278,0.177171,9.840169,-0.002131,-0.000533,0.005859
3.779000,0.055067,0.172383,9.840169,-0.001598,-0.000533,0.005859
3.780000,0.055067,0.172383,9.842563,-0.001598,0.000000,0.005859
3.782000,0.033519,0.167594,9.830592,-0.002663,-0.001065,0.005326
3.783000,0.035913,0.169988,9.832986,-0.002131,-0.001598,0.004794
3.784000,0.040701,0.172383,9.830592,-0.002131,-0.001065,0.004794
3.785000,0.040701,0.172383,9.840169,-0.002131,-0.000533,0.005326
3.787000,0.040701,0.165200,9.854534,-0.002663,-0.001065,0.005326
3.788000,0.045490,0.169988,9.852140,-0.002131,-0.001065,0.005326
3.789000,0.033519,0.179565,9.856928,-0.001598,-0.000533,0.005859
3.790000,0.028730,0.181959,9.856928,-0.002131,-0.000533,0.005326
3.792000,0.040701,0.174777,9.844957,-0.001598,-0.001065,0.005859
3.793000,0.040701,0.174777,9.842563,-0.001598,-0.000533,0.005859
3.794000,0.040701,0.165200,9.847351,-0.001065,-0.000533,0.005859
3.795000,0.038307,0.165200,9.856928,-0.001598,-0.001065,0.006392
3.797000,0.038307,0.174777,9.847351,-0.001065,-0.001065,0.005326
3.798000,0.040701,0.177171,9.854534,-0.001065,-0.001065,0.005326
3.799000,0.050278,0.181959,9.856928,-0.001065,-0.001065,0.005326
3.800000,0.050278,0.177171,9.849746,-0.001065,-0.001598,0.005326
3.802000,0.033519,0.162806,9.844957,-0.000533,-0.001065,0.005326
3.803000,0.040701,0.179565,9.854534,-0.000533,-0.001065,0.005326
3.804000,0.045490,0.191536,9.859322,-0.001065,-0.001065,0.005326
3.805000,0.045490,0.186748,9.849746,-0.001598,-0.001065,0.005326
3.807000,0.050278,0.172383,9.849746,-0.002663,-0.001065,0.005326
3.808000,0.055067,0.169988,9.854534,-0.002131,-0.001598,0.004794
3.809000,0.057461,0.169988,9.849746,-0.001598,-0.001065,0.004794
3.810000,0.050278,0.165200,9.844957,-0.001598,-0.001065,0.005859
3.812000,0.035913,0.174777,9.856928,-0.002131,-0.001065,0.005326
3.813000,0.035913,0.179565,9.849746,-0.001598,-0.001598,0.004261
3.814000,0.033519,0.177171,9.842563,-0.001065,-0.001065,0.004794
3.815000,0.035913,0.179565,9.844957,-0.002131,-0.001065,0.005326
3.817000,0.045490,0.179565,9.856928,-0.002131,-0.001598,0.005326
3.818000,0.055067,0.172383,9.856928,-0.002131,-0.001065,0.004794
