t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_C
529992,0.033,-0.133,0.999,-0.108,-0.117,0.345,25.15
530092,0.032,-0.136,0.990,-0.108,-0.117,0.345,25.17
530192,0.032,-0.132,0.991,-0.108,-0.117,0.345,25.15
530292,0.033,-0.135,0.989,-0.108,-0.056,0.345,25.17
530392,0.031,-0.132,0.991,-0.108,-0.117,0.284,25.17
530492,0.032,-0.133,1.000,-0.047,-0.117,0.345,25.12
530592,0.032,-0.135,0.990,-0.108,-0.056,0.345,25.18
530692,0.032,-0.132,0.992,-0.108,-0.117,0.345,25.17
530792,0.033,-0.135,0.992,-0.108,-0.117,0.345,25.21
530892,0.032,-0.132,0.992,-0.047,-0.117,0.345,25.17
530992,0.033,-0.135,0.991,-0.047,-0.117,0.284,25.18
531092,0.032,-0.133,1.000,-0.108,-0.117,0.345,25.18
531192,0.033,-0.135,0.990,-0.047,-0.056,0.345,25.20
531292,0.033,-0.132,0.992,-0.047,-0.117,0.345,25.17
531392,0.032,-0.136,0.993,-0.108,-0.117,0.345,25.18
531492,0.033,-0.135,0.993,-0.108,-0.117,0.345,25.24
531592,0.034,-0.132,0.993,-0.108,-0.117,0.345,25.15
531692,0.032,-0.135,0.991,-0.108,-0.117,0.284,25.23
531792,0.031,-0.134,1.000,-0.108,-0.117,0.345,25.15
531892,0.032,-0.134,0.991,-0.047,-0.117,0.284,25.20
531992,0.032,-0.134,1.000,-0.047,-0.117,0.406,25.15
532092,0.031,-0.135,0.999,-0.108,-0.056,0.345,25.17
532192,0.033,-0.135,0.990,-0.108,-0.117,0.345,25.14
532292,0.032,-0.135,0.991,-0.108,-0.117,0.406,25.17
532392,0.032,-0.135,1.000,-0.108,-0.056,0.345,25.15
532492,0.032,-0.132,0.990,-0.108,-0.117,0.345,25.14
532592,0.032,-0.135,0.991,-0.047,-0.056,0.345,25.15
532692,0.031,-0.135,0.991,-0.108,-0.117,0.406,25.21
532792,0.032,-0.131,1.000,-0.108,-0.117,0.345,25.12
532892,0.032,-0.136,0.991,-0.108,-0.056,0.345,25.17
532992,0.032,-0.131,0.991,-0.047,-0.117,0.345,25.18
533092,0.032,-0.135,0.992,-0.108,-0.056,0.345,25.14
533192,0.032,-0.132,0.991,-0.108,-0.056,0.345,25.17
533292,0.032,-0.135,0.991,-0.108,-0.056,0.345,25.23
533392,0.032,-0.136,0.991,-0.108,-0.117,0.345,25.23
533492,0.031,-0.136,0.991,-0.047,-0.117,0.345,25.18
533592,0.033,-0.135,0.991,-0.047,-0.056,0.345,25.21
533692,0.032,-0.133,0.991,-0.108,-0.117,0.345,25.24
533792,0.032,-0.135,0.993,-0.047,-0.056,0.345,25.27
533892,0.032,-0.136,0.992,-0.047,-0.117,0.345,25.24
533992,0.032,-0.135,0.993,-0.047,-0.056,0.345,25.23
534092,0.033,-0.135,0.993,-0.108,-0.056,0.406,25.18
534192,0.032,-0.133,1.000,-0.047,-0.178,0.284,25.17
534292,0.032,-0.135,1.000,-0.108,-0.117,0.345,25.17
534392,0.032,-0.133,0.990,-0.047,-0.117,0.284,25.20
534492,0.030,-0.132,0.999,-0.108,-0.117,0.406,25.12
534592,0.033,-0.134,0.999,-0.108,-0.117,0.406,25.11
534692,0.031,-0.134,0.998,-0.108,-0.117,0.406,25.09
534792,0.032,-0.135,0.998,-0.047,-0.117,0.345,25.09
534892,0.032,-0.135,0.989,-0.108,-0.117,0.284,25.11
534992,0.032,-0.133,0.999,-0.108,-0.056,0.406,25.06
535092,0.032,-0.132,0.998,-0.108,-0.117,0.345,25.03
535192,0.032,-0.134,0.988,-0.108,-0.117,0.284,25.09
535292,0.032,-0.134,0.998,0.197,0.005,0.345,25.09
535392,0.031,-0.134,0.988,-0.047,-0.117,0.345,25.06
